dataset,refinement,elements,jm_dofs,h1_dofs,basis,smoother,h1,damping,iterations,residual,converged,moment_assembly_s,vertex_assembly_s,basis_map_s,aux_setup_s,smoother_setup_s,solve_median_s,apply_median_s
triangle_smooth,2,16,168,45,moment,split,unsplit,1,23,4.84548155e-09,1,0.000436891,0.002146063,0.000100178,0.001255559,2.4887e-05,0.000381968,1.2874e-05
triangle_smooth,2,16,168,45,vertex,jacobi,unsplit,1,31,7.63073341e-09,1,0.000436891,0.002146063,0.000100178,0.001255559,3.6e-07,0.000433835,1.1161e-05
triangle_smooth,2,16,168,45,vertex,macro,unsplit,1,18,3.64107379e-09,1,0.000436891,0.002146063,0.000100178,0.001255559,5.5294e-05,0.000363323,1.6542e-05
triangle_smooth,2,16,168,45,vertex,split,unsplit,1,23,4.84548155e-09,1,0.000436891,0.002146063,0.000100178,0.001255559,1.3576e-05,0.000375897,1.2794e-05
triangle_smooth,2,16,168,93,moment,jacobi,split,1,38,8.25371037e-09,1,0.000436891,0.002146063,0.000100178,0.001176511,2.81e-07,0.000557738,1.1722e-05
triangle_smooth,2,16,168,93,moment,macro,split,1,18,4.15853601e-09,1,0.000436891,0.002146063,0.000100178,0.001176511,6.2838e-05,0.000364515,1.6681e-05
triangle_smooth,2,16,168,93,moment,split,split,1,22,4.68088797e-09,1,0.000436891,0.002146063,0.000100178,0.001176511,1.4417e-05,0.000390344,1.4307e-05
triangle_smooth,2,16,168,93,vertex,jacobi,split,1,30,9.96026214e-09,1,0.000436891,0.002146063,0.000100178,0.001176511,3.2e-07,0.000480162,1.2865e-05
triangle_smooth,2,16,168,93,vertex,macro,split,1,18,4.15840314e-09,1,0.000436891,0.002146063,0.000100178,0.001176511,5.4162e-05,0.000389543,1.7643e-05
triangle_smooth,2,16,168,93,vertex,split,split,1,22,4.68088797e-09,1,0.000436891,0.002146063,0.000100178,0.001176511,1.3345e-05,0.000386336,1.4237e-05
triangle_smooth,3,64,624,135,moment,jacobi,unsplit,1,61,7.95182084e-09,1,0.001461957,0.008791692,0.000359937,0.003981152,1.192e-06,0.003877066,4.1207e-05
triangle_smooth,3,64,624,135,moment,macro,unsplit,1,19,2.92907145e-09,1,0.001461957,0.008791692,0.000359937,0.003981152,0.000396205,0.001620505,6.1015e-05
triangle_smooth,3,64,624,135,moment,split,unsplit,1,27,7.8677703e-09,1,0.001461957,0.008791692,0.000359937,0.003981152,8.6542e-05,0.001981403,5.1347e-05
triangle_smooth,3,64,624,135,vertex,jacobi,unsplit,1,38,7.89261181e-09,1,0.001461957,0.008791692,0.000359937,0.003981152,5.31e-07,0.002576392,4.6047e-05
triangle_smooth,3,64,624,135,vertex,macro,unsplit,1,19,2.92899084e-09,1,0.001461957,0.008791692,0.000359937,0.003981152,0.000356871,0.001708691,6.6235e-05
triangle_smooth,3,64,624,135,vertex,split,unsplit,1,27,7.8677703e-09,1,0.001461957,0.008791692,0.000359937,0.003981152,6.6765e-05,0.002040595,5.1407e-05
triangle_smooth,3,64,624,327,moment,jacobi,split,1,51,6.97835867e-09,1,0.001461957,0.008791692,0.000359937,0.004365124,4.91e-07,0.003553568,4.7529e-05
triangle_smooth,3,64,624,327,moment,macro,split,1,19,7.10680582e-09,1,0.001461957,0.008791692,0.000359937,0.004365124,0.000418225,0.001783782,6.8208e-05
triangle_smooth,3,64,624,327,moment,split,split,1,27,5.10364896e-09,1,0.001461957,0.008791692,0.000359937,0.004365124,7.956e-05,0.002232356,5.863e-05
triangle_smooth,3,64,624,327,vertex,jacobi,split,1,37,5.77665309e-09,1,0.001461957,0.008791692,0.000359937,0.004365124,4.61e-07,0.002851349,5.2198e-05
triangle_smooth,3,64,624,327,vertex,macro,split,1,19,7.10640708e-09,1,0.001461957,0.008791692,0.000359937,0.004365124,0.000342363,0.001847132,7.3288e-05
triangle_smooth,3,64,624,327,vertex,split,split,1,27,5.10364896e-09,1,0.001461957,0.008791692,0.000359937,0.004365124,5.4332e-05,0.002212428,5.853e-05
triangle_smooth,4,256,2400,459,moment,jacobi,unsplit,1,80,9.79690344e-09,1,0.006141331,0.036285221,0.001492826,0.01631433,1.042e-06,0.027792792,0.000308009
triangle_smooth,4,256,2400,459,moment,macro,unsplit,1,22,3.40735729e-09,1,0.006141331,0.036285221,0.001492826,0.01631433,0.001732827,0.009664021,0.000385454
triangle_smooth,4,256,2400,459,moment,split,unsplit,1,30,6.55473181e-09,1,0.006141331,0.036285221,0.001492826,0.01631433,0.000299863,0.011857974,0.000344547
triangle_smooth,4,256,2400,459,vertex,jacobi,unsplit,1,41,7.67686513e-09,1,0.006141331,0.036285221,0.001492826,0.01631433,1.483e-06,0.015225453,0.000326564
triangle_smooth,4,256,2400,459,vertex,macro,unsplit,1,22,3.4087203e-09,1,0.006141331,0.036285221,0.001492826,0.01631433,0.001865215,0.010300067,0.000414379
triangle_smooth,4,256,2400,459,vertex,split,unsplit,1,30,6.55473181e-09,1,0.006141331,0.036285221,0.001492826,0.01631433,0.000483679,0.011995804,0.000348115
triangle_smooth,4,256,2400,1227,moment,jacobi,split,1,58,8.76525796e-09,1,0.006141331,0.036285221,0.001492826,0.017602941,9.32e-07,0.022950721,0.00036161
triangle_smooth,4,256,2400,1227,moment,macro,split,1,22,3.57818577e-09,1,0.006141331,0.036285221,0.001492826,0.017602941,0.001853834,0.011087607,0.000438484
triangle_smooth,4,256,2400,1227,moment,split,split,1,30,5.53708898e-09,1,0.006141331,0.036285221,0.001492826,0.017602941,0.00030898,0.013237747,0.000394882
triangle_smooth,4,256,2400,1227,vertex,jacobi,split,1,39,9.29614652e-09,1,0.006141331,0.036285221,0.001492826,0.017602941,1.192e-06,0.016420519,0.000378621
